year,number_international_films_released
2021,290
2020,453
2019,483
2018,530
2017,464
2016,438
2015,303
2014,174
2013,161
2012,116
2011,78
2010,97
2009,71
2008,58
2007,36
2006,47
2005,32
2004,34
2003,24
2002,22
2001,14
2000,9
1999,14
1998,9
1997,9
1996,5
1995,8
1994,7
1993,8
1992,5
1991,2
1990,5
1989,5
1988,4
1986,3
1985,7
1984,6
1983,8
1982,10
1981,5
1980,5
1979,4
1978,4
1977,2
1976,3
1975,5
1974,3
1973,5
1972,2
1971,2
1970,2
1969,1
1968,1
1967,1
1966,1
1964,1
1962,1
1960,2
1959,1
1958,1
1956,1
1954,1
